date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_precipitation_above_threshold,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-07-23 00:00:00+00:00,203,13.532513618469238,-14.25823974609375,25.973625,32.003723,22.028173,2.2474318,4.096395,22.684494,85.725716,98.67608,56.077095,3.4127958,0.30639964,17.015948,False,False,0,False,False,False,0.0,22.684494
1950-07-24 00:00:00+00:00,204,13.532513618469238,-14.25823974609375,24.86835,26.897272,23.369337,2.0780096,2.7417545,7.333707,91.72855,99.66089,79.14018,4.0949287,0.3116988,15.133304500000001,False,False,0,False,False,True,0.0,7.333707
1950-07-25 00:00:00+00:00,205,13.532513618469238,-14.25823974609375,25.663074,31.340824,23.710505,2.081503,3.268857,17.656378,93.731384,99.64569,64.20328,9.297948,0.32699794,17.5256645,True,False,0,False,False,True,0.0,17.656378
1950-07-26 00:00:00+00:00,206,13.532513618469238,-14.25823974609375,25.407799,30.434376,22.901674,2.4325376,3.4547932,19.606623,89.734215,99.6305,62.266357,9.382312,0.333297,16.668025,True,False,0,False,False,False,0.0,19.606623
1950-07-27 00:00:00+00:00,207,13.532513618469238,-14.25823974609375,25.45252,29.327925,22.942839,1.9145491,2.0813227,14.992949,90.73706,100.0,67.32945,7.2492557,0.3485962,16.135382,True,False,0,False,False,True,0.0,14.992949
1950-07-28 00:00:00+00:00,208,13.532513618469238,-14.25823974609375,27.047247,31.621475,23.084003,1.9178534,2.6123533,19.187986,80.7399,99.60011,59.39254,0.0,0.3468953,17.352739,False,False,1,False,False,False,0.0,19.187986
1950-07-29 00:00:00+00:00,209,13.532513618469238,-14.25823974609375,26.191969,29.865026,23.825172,2.0958464,2.798079,15.800415,89.74272,98.584915,69.45563,8.2711,0.34819445,16.845098999999998,True,False,0,False,False,False,0.0,15.800415
1950-07-30 00:00:00+00:00,210,13.532513618469238,-14.25823974609375,27.636696,31.008575,24.01634,2.6244097,3.8634832,19.798023,81.74557,98.56973,66.51871,0.0,0.34849358,17.5124575,False,False,1,False,False,False,0.0,19.798023
1950-07-31 00:00:00+00:00,211,13.532513618469238,-14.25823974609375,27.731419,31.552124,24.707508,3.3301446,4.4088964,17.816456,76.7484,91.554535,60.5818,0.0852534,0.33979273,18.129815999999998,False,False,2,False,False,False,0.0,17.816456
1950-08-01 00:00:00+00:00,212,13.532513618469238,-14.25823974609375,25.426146,27.445675,24.048674,2.2825947,2.8337467,14.7212515,90.751236,99.539345,76.64489,11.167195,0.34709188,15.7471745,True,False,0,False,False,True,0.0,14.7212515
1950-08-02 00:00:00+00:00,213,13.532513618469238,-14.25823974609375,25.070871,27.839224,23.48984,2.1108127,2.6680946,16.658588,96.754074,99.524155,78.70798,13.723364,0.36539096,15.664532000000001,True,False,0,False,False,True,0.0,16.658588
