date,Unnamed: 0,lat,lon,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum,soil_moisture_0_to_10cm_mean,gdd,is_extreme_precipitation,consecutive_dry_days,is_heat_stress,is_wind_above_threshold,is_humidity_above_threshold,soil_moisture_deficit,solar_radiation_mj
1950-07-02 00:00:00+00:00,182,13.813708305358888,-15.38604736328125,26.47737,30.843195,21.89937,2.0275187,2.903038,25.174938,80.10474,100.0,57.21487,0.0,0.392949,16.3712825,False,1,False,False,False,0.0,25.174938
1950-07-03 00:00:00+00:00,183,13.813708305358888,-15.38604736328125,26.045462,28.719967,24.158506,3.1903057,4.365922,15.497223,83.00559,92.40832,68.19869,0.0,0.38355035,16.4392365,False,2,False,False,False,0.0,15.497223
1950-07-04 00:00:00+00:00,184,13.813708305358888,-15.38604736328125,27.051382,30.532003,24.105732,2.9051476,3.187139,24.049095,74.95436,90.35689,57.197388,0.0,0.3748119,17.3188675,False,3,False,False,False,0.0,24.049095
1950-07-05 00:00:00+00:00,185,13.813708305358888,-15.38604736328125,26.357304,29.894049,22.802956,2.1825476,3.0659075,21.884027,76.90312,95.305435,59.19608,0.0,0.36407351,16.3485025,False,4,False,False,False,0.0,21.884027
1950-07-06 00:00:00+00:00,186,13.813708305358888,-15.38604736328125,25.813227,28.006092,23.500183,1.7490157,2.140951,14.185304,79.8519,94.254005,66.19478,0.09183016,0.35733515,15.753137500000001,False,5,False,False,False,0.0,14.185304
1950-07-07 00:00:00+00:00,187,13.813708305358888,-15.38604736328125,25.669146,30.118132,23.247406,2.0440252,3.223796,22.03184,87.80066,99.20257,63.193474,6.6269636,0.36259672,16.682769,False,0,False,False,False,0.0,22.03184
1950-07-08 00:00:00+00:00,188,13.813708305358888,-15.38604736328125,26.525066,31.48017,22.194633,2.4863303,3.7757063,23.850481,74.749435,100.0,50.19217,0.8302176,0.37185836,16.8374015,False,1,False,False,False,0.0,23.850481
1950-07-09 00:00:00+00:00,189,13.813708305358888,-15.38604736328125,26.180984,31.842215,21.891853,1.9046309,3.2490013,23.824966,80.6982,100.0,55.190865,6.008997,0.36311993,16.867034,False,0,False,False,False,0.0,23.824966
1950-07-10 00:00:00+00:00,190,13.813708305358888,-15.38604736328125,25.786905,28.104258,23.28908,1.7612151,2.310472,16.349972,85.64697,100.0,69.18956,1.0190454,0.37538153,15.696669,False,0,False,False,False,0.0,16.349972
1950-07-11 00:00:00+00:00,191,13.813708305358888,-15.38604736328125,26.342825,31.516298,23.036303,1.911367,3.4113,24.256891,81.59573,99.99683,54.188255,3.9916809,0.36764315,17.276300499999998,False,0,False,False,False,0.0,24.256891
1950-07-12 00:00:00+00:00,192,13.813708305358888,-15.38604736328125,25.398748,30.278337,22.483532,1.7674936,2.8770165,19.789934,89.54451,100.0,62.18695,8.371272,0.3779047,16.380934500000002,False,0,False,False,False,0.0,19.789934
1950-07-13 00:00:00+00:00,193,13.813708305358888,-15.38604736328125,26.70467,31.690382,23.380754,1.7706791,3.5764737,21.600588,85.49328,100.0,57.185646,1.9570698,0.38016632,17.535567999999998,False,0,False,False,False,0.0,21.600588
1950-07-14 00:00:00+00:00,194,13.813708305358888,-15.38604736328125,26.810589,31.302423,22.927982,2.3651953,3.4529948,20.228416,78.44205,100.0,59.18434,0.09336891,0.37442794,17.115202500000002,False,1,False,False,False,0.0,20.228416
1950-07-15 00:00:00+00:00,195,13.813708305358888,-15.38604736328125,26.61651,31.264467,22.375202,2.9619093,3.8833265,25.40209,71.39082,95.791084,48.183037,0.0,0.36068952,16.8198345,False,2,False,False,False,0.0,25.40209
1950-07-16 00:00:00+00:00,196,13.813708305358888,-15.38604736328125,26.32243,30.626505,21.72243,2.373903,2.9246318,21.241184,73.339584,96.73965,54.181736,0.0,0.34795114,16.1744675,False,3,False,False,False,0.0,21.241184
1950-07-17 00:00:00+00:00,197,13.813708305358888,-15.38604736328125,26.478352,30.73855,23.569654,2.0810323,2.7970753,18.241425,74.28835,99.6882,53.18043,2.4405847,0.3412127,17.154102,False,0,False,False,False,0.0,18.241425
1950-07-18 00:00:00+00:00,198,13.813708305358888,-15.38604736328125,24.78427,28.400589,22.96688,1.936014,2.9493897,11.699887,88.23712,100.0,66.17912,0.56416327,0.3564743,15.6837345,False,1,False,False,False,0.0,11.699887
1950-07-19 00:00:00+00:00,199,13.813708305358888,-15.38604736328125,26.290194,30.562628,22.714104,2.088884,3.103067,21.457758,82.1859,99.58533,58.17782,2.9196417,0.35173595,16.638365999999998,False,0,False,False,False,0.0,21.457758
1950-07-20 00:00:00+00:00,200,13.813708305358888,-15.38604736328125,26.796112,29.974672,23.361328,2.541342,3.3997905,18.467415,79.13466,97.5339,65.17651,0.0,0.35499752,16.668,False,1,False,False,False,0.0,18.467415
1950-07-21 00:00:00+00:00,201,13.813708305358888,-15.38604736328125,26.152035,30.83671,23.658552,2.0968964,2.7032378,19.784693,86.08343,100.0,62.175217,9.920484,0.3512591,17.247631,False,0,False,False,False,0.0,19.784693
1950-07-22 00:00:00+00:00,202,13.813708305358888,-15.38604736328125,24.107952,24.498755,23.255775,1.6507581,2.143528,9.833414,96.032196,100.0,87.173904,7.9485054,0.38252074,13.877265000000001,False,0,False,False,True,0.0,9.833414
1950-07-23 00:00:00+00:00,203,13.813708305358888,-15.38604736328125,25.463875,31.560793,21.703003,1.80435,3.3013432,23.363565,86.980965,100.0,56.172604,3.3168118,0.37678236,16.631898,False,0,False,False,False,0.0,23.363565
1950-07-24 00:00:00+00:00,204,13.813708305358888,-15.38604736328125,25.169796,28.672836,23.200228,1.8079096,2.1627042,14.859402,94.92973,100.0,71.171295,14.0457735,0.38704392,15.936532,False,0,False,False,True,0.0,14.859402
1950-07-25 00:00:00+00:00,205,13.813708305358888,-15.38604736328125,25.425718,27.484882,24.197454,1.6605476,2.317326,20.26552,97.87851,100.0,88.17,10.074097,0.4093055,15.841168,False,0,False,False,True,0.0,20.26552
1950-07-26 00:00:00+00:00,206,13.813708305358888,-15.38604736328125,25.331638,29.74692,23.244675,2.1176648,2.9098933,20.717337,90.82728,100.0,65.168686,11.325282,0.41656715,16.495797500000002,False,0,False,False,True,0.0,20.717337
1950-07-27 00:00:00+00:00,207,13.813708305358888,-15.38604736328125,24.887558,28.90896,23.0919,1.5156786,1.7539898,14.808091,94.77605,100.0,69.16739,9.053441,0.42982876,16.00043,False,0,False,False,True,0.0,14.808091
1950-07-28 00:00:00+00:00,208,13.813708305358888,-15.38604736328125,27.04348,30.871,23.639126,1.6706494,1.7621586,18.962658,82.72481,100.0,62.16608,0.095425546,0.43109033,17.255063,False,1,False,False,False,0.0,18.962658
1950-07-29 00:00:00+00:00,209,13.813708305358888,-15.38604736328125,26.299402,29.433046,24.38635,1.8262786,2.3605926,15.152411,90.673584,100.0,70.16477,10.223748,0.43335193,16.909698,False,0,False,False,True,0.0,15.152411
1950-07-30 00:00:00+00:00,210,13.813708305358888,-15.38604736328125,27.45532,30.795088,24.333576,2.2875886,4.0024137,20.14798,82.62235,100.0,63.163467,0.28700984,0.43761355,17.564332,False,1,False,False,False,0.0,20.14798
1950-07-31 00:00:00+00:00,211,13.813708305358888,-15.38604736328125,26.76124,29.557129,24.0308,2.903681,4.170551,18.707039,82.57112,95.9681,68.16217,0.09578832,0.42887512,16.7939645,False,2,False,False,False,0.0,18.707039
1950-08-01 00:00:00+00:00,212,13.813708305358888,-15.38604736328125,25.067163,26.969172,24.128025,1.9909269,2.5443797,12.928437,93.51988,100.0,80.160866,9.110906,0.4321367,15.5485985,False,0,False,False,True,0.0,12.928437
1950-08-02 00:00:00+00:00,213,13.813708305358888,-15.38604736328125,26.173082,28.881212,23.575249,1.9951701,3.0080247,16.306274,86.46866,100.0,70.15956,0.1920357,0.43339834,16.228230500000002,False,1,False,False,False,0.0,16.306274
1950-08-03 00:00:00+00:00,214,13.813708305358888,-15.38604736328125,27.029003,31.393251,22.372475,2.1532648,2.7205906,24.383123,76.417435,99.8138,55.158253,1.4419371,0.42565992,16.882863,False,0,False,False,False,0.0,24.383123
1950-08-04 00:00:00+00:00,215,13.813708305358888,-15.38604736328125,23.534924,26.955294,23.019701,2.0037973,2.886058,10.7194605,99.366196,100.0,80.15695,27.139175,0.46392155,14.9874975,False,0,False,False,True,0.0,10.7194605
1950-08-05 00:00:00+00:00,216,13.813708305358888,-15.38604736328125,25.290846,28.817337,22.016926,2.3171341,3.358588,20.661743,82.314964,100.0,62.15564,0.09634511,0.46218318,15.4171315,False,1,False,False,False,0.0,20.661743
1950-08-06 00:00:00+00:00,217,13.813708305358888,-15.38604736328125,25.096767,29.029379,22.764149,1.8578005,2.6084802,17.916428,92.26373,100.0,69.15434,18.325485,0.46444476,15.896763999999997,False,0,False,False,True,0.0,17.916428
1950-08-07 00:00:00+00:00,218,13.813708305358888,-15.38604736328125,25.502686,29.291418,23.511372,1.5516164,2.621891,19.487347,93.2125,100.0,72.15304,5.7931623,0.47970635,16.401395,False,0,False,False,True,0.0,19.487347
1950-08-08 00:00:00+00:00,219,13.813708305358888,-15.38604736328125,25.958607,29.753462,23.5586,1.5551047,2.0153894,18.52778,90.16127,100.0,68.15173,11.791728,0.4739679,16.656031,False,0,False,False,True,0.0,18.52778
1950-08-09 00:00:00+00:00,220,13.813708305358888,-15.38604736328125,26.164528,29.565504,23.255823,1.8703591,3.2727141,20.374228,85.11005,100.0,66.15043,0.29025722,0.47722954,16.4106635,False,1,False,False,False,0.0,20.374228
1950-08-10 00:00:00+00:00,221,13.813708305358888,-15.38604736328125,25.97045,29.927544,22.653048,2.499521,3.9167478,19.042274,80.05881,94.453735,63.149124,0.0,0.46349114,16.290295999999998,False,2,False,False,False,0.0,19.042274
1950-08-11 00:00:00+00:00,222,13.813708305358888,-15.38604736328125,26.076368,30.189589,24.350275,2.9750383,4.4102626,19.205133,88.007576,98.402306,69.14781,9.40363,0.45975274,17.269932,False,0,False,False,False,0.0,19.205133
1950-08-12 00:00:00+00:00,223,13.813708305358888,-15.38604736328125,25.082293,25.401627,24.197496,2.511137,3.3256073,8.938823,85.956345,92.35086,82.146515,2.4259524,0.46101436,14.799561500000003,False,0,False,False,False,0.0,8.938823
1950-08-13 00:00:00+00:00,224,13.813708305358888,-15.38604736328125,24.988213,27.363668,23.64472,2.6743612,3.3438065,14.135432,86.90512,93.29943,76.14521,1.845467,0.45627594,15.504193999999998,False,0,False,False,False,0.0,14.135432
1950-08-14 00:00:00+00:00,225,13.813708305358888,-15.38604736328125,24.094131,27.225708,23.091948,1.8922678,2.2415338,10.866889,94.85389,100.0,76.143906,24.013319,0.46453756,15.158828,False,0,False,False,True,0.0,10.866889
1950-08-15 00:00:00+00:00,226,13.813708305358888,-15.38604736328125,24.400053,29.487751,22.789173,2.0548708,3.220093,14.285369,93.80266,100.0,64.1426,17.515507,0.5007992,16.138462,False,0,False,False,True,0.0,14.285369
1950-08-16 00:00:00+00:00,227,13.813708305358888,-15.38604736328125,23.805973,24.949793,22.836397,2.5351915,3.5621192,6.1145353,92.75142,100.0,85.1413,0.779162,0.49506074,13.893095000000002,False,1,False,False,True,0.0,6.1145353
1950-08-17 00:00:00+00:00,228,13.813708305358888,-15.38604736328125,23.161896,24.411835,21.933619,1.9060383,3.7453082,6.4768476,92.700195,100.0,86.139984,57.51354,0.5073223,13.172727000000002,True,0,False,False,True,0.0,6.4768476
1950-08-18 00:00:00+00:00,229,13.813708305358888,-15.38604736328125,24.567816,28.823874,21.980846,1.9107381,3.6031604,20.51456,88.64896,100.0,68.13869,2.1464171,0.528584,15.402360000000002,False,0,False,False,False,0.0,20.51456
1950-08-19 00:00:00+00:00,230,13.813708305358888,-15.38604736328125,25.123734,29.835918,21.42807,1.5962453,1.9768373,16.796606,84.59773,99.990814,61.137383,2.3435235,0.5028455,15.631993999999999,False,0,False,False,False,0.0,16.796606
1950-08-20 00:00:00+00:00,231,13.813708305358888,-15.38604736328125,26.529655,30.897957,22.725296,2.0803342,3.8113115,20.000835,80.5465,99.939384,58.136074,0.097727776,0.49110717,16.811626500000003,False,1,False,False,False,0.0,20.000835
1950-08-21 00:00:00+00:00,232,13.813708305358888,-15.38604736328125,26.635578,31.36,22.872522,2.2460446,3.500672,23.104559,75.49527,96.88794,58.134773,0.78245896,0.48236874,17.116261,False,2,False,False,False,0.0,23.104559
1950-08-22 00:00:00+00:00,233,13.813708305358888,-15.38604736328125,26.141497,29.92204,22.919744,2.4126418,3.5218122,16.455454,81.44404,97.83651,65.13347,0.09788561,0.47663033,16.420892000000002,False,3,False,False,False,0.0,16.455454
1950-08-23 00:00:00+00:00,234,13.813708305358888,-15.38604736328125,24.897417,29.334084,22.46697,1.7738478,3.0371337,13.679596,91.392815,99.78507,71.13216,56.81827,0.501892,15.900527,True,0,False,False,True,0.0,13.679596
1950-08-24 00:00:00+00:00,235,13.813708305358888,-15.38604736328125,25.75334,30.596125,21.964193,1.7784815,3.5652127,21.730152,83.341576,99.733635,61.13086,0.098038174,0.53315353,16.280159,False,1,False,False,False,0.0,21.730152
1950-08-25 00:00:00+00:00,236,13.813708305358888,-15.38604736328125,27.25926,31.358166,23.31142,2.269493,3.0749943,21.151985,77.290344,95.6822,60.129555,0.09811257,0.5114151,17.334792999999998,False,2,False,False,False,0.0,21.151985
1950-08-26 00:00:00+00:00,237,13.813708305358888,-15.38604736328125,27.715183,31.570204,23.508644,1.9504625,2.406783,18.746273,74.23911,90.63076,61.128246,0.098185755,0.5026767,17.539424,False,3,False,False,False,0.0,18.746273
1950-08-27 00:00:00+00:00,238,13.813708305358888,-15.38604736328125,28.871101,32.932247,25.30587,1.7927343,2.9412165,21.826199,74.187874,92.57933,58.126945,0.39303097,0.49693832,19.119058499999998,False,4,False,False,False,0.0,21.826199
1950-08-28 00:00:00+00:00,239,13.813708305358888,-15.38604736328125,26.827023,30.344286,23.703093,2.6146996,4.701578,17.054464,85.13665,99.52789,70.12564,2.9498568,0.49519998,17.0236895,False,0,False,False,False,0.0,17.054464
1950-08-29 00:00:00+00:00,240,13.813708305358888,-15.38604736328125,28.082943,32.106327,25.100319,2.949611,4.206552,21.129923,76.08543,90.47645,60.124332,0.0,0.49146158,18.603323,False,1,False,False,False,0.0,21.129923
1950-08-30 00:00:00+00:00,241,13.813708305358888,-15.38604736328125,25.488865,29.918375,23.747541,2.3005028,3.70513,14.006875,88.034195,99.42501,66.12303,8.566616,0.49172318,16.832957999999998,False,0,False,False,False,0.0,14.006875
1950-08-31 00:00:00+00:00,242,13.813708305358888,-15.38604736328125,24.894785,27.880415,23.29477,1.6478186,2.3090394,16.531021,94.98296,99.37358,80.121735,5.123787,0.49798474,15.5875925,False,0,False,False,True,0.0,16.531021
1950-09-01 00:00:00+00:00,243,13.813708305358888,-15.38604736328125,25.950706,29.392458,23.191992,1.8177292,2.8611934,14.603568,85.93173,99.32214,67.12042,3.5496294,0.49524632,16.292225000000002,False,0,False,False,False,0.0,14.603568
1950-09-02 00:00:00+00:00,244,13.813708305358888,-15.38604736328125,26.70832,31.549559,22.29718,1.655096,3.0515912,18.685474,82.99373,99.38488,60.139065,3.3522062,0.49372044,16.9233695,False,0,False,False,False,0.0,18.685474
1950-09-03 00:00:00+00:00,245,13.813708305358888,-15.38604736328125,26.867634,31.351723,23.760328,2.1523044,3.7725224,16.985638,82.16896,99.5618,58.17765,5.1227293,0.49740705,17.5560255,False,0,False,False,False,0.0,16.985638
