filename,LAT,LON,temperature_score_1950_1969,gdd_score_1950_1969,precipitations_score_1950_1969,ext_precipitation_score_1950_1969,soil_moisture_score_1950_1969,wind_score_1950_1969,heat_stress_score_1950_1969,humidity_score_1950_1969,solar_radiation_score_1950_1969,season_start_shift_score_1950_1969,season_length_score_1950_1969,Final_Score_1950_1969,temperature_score_1970_1989,gdd_score_1970_1989,precipitations_score_1970_1989,ext_precipitation_score_1970_1989,soil_moisture_score_1970_1989,wind_score_1970_1989,heat_stress_score_1970_1989,humidity_score_1970_1989,solar_radiation_score_1970_1989,season_start_shift_score_1970_1989,season_length_score_1970_1989,Final_Score_1970_1989,temperature_score_1990_2009,gdd_score_1990_2009,precipitations_score_1990_2009,ext_precipitation_score_1990_2009,soil_moisture_score_1990_2009,wind_score_1990_2009,heat_stress_score_1990_2009,humidity_score_1990_2009,solar_radiation_score_1990_2009,season_start_shift_score_1990_2009,season_length_score_1990_2009,Final_Score_1990_2009,temperature_score_2010_2029,gdd_score_2010_2029,precipitations_score_2010_2029,ext_precipitation_score_2010_2029,soil_moisture_score_2010_2029,wind_score_2010_2029,heat_stress_score_2010_2029,humidity_score_2010_2029,solar_radiation_score_2010_2029,season_start_shift_score_2010_2029,season_length_score_2010_2029,Final_Score_2010_2029,temperature_score_2030_2050,gdd_score_2030_2050,precipitations_score_2030_2050,ext_precipitation_score_2030_2050,soil_moisture_score_2030_2050,wind_score_2030_2050,heat_stress_score_2030_2050,humidity_score_2030_2050,solar_radiation_score_2030_2050,season_start_shift_score_2030_2050,season_length_score_2030_2050,Final_Score_2030_2050
cmip6_era5_data_daily_61,13.673110961914062,-16.431182861328125,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.21363636363636365,0.0,0.0,0.84,0.0,0.17,0.0,0.0,0.5,0.0,0.5,0.34,0.2136363636363636,0.0,0.0,1.0,0.0,0.17,0.0,0.0,0.67,0.0,0.5,0.34,0.24363636363636362,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.34,0.5,0.24363636363636362,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.28909090909090907
cmip6_era5_data_daily_62,13.532513618469238,-15.164825439453123,0.0,0.17,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.21363636363636365,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.2290909090909091,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.25909090909090904,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.2590909090909091,0.17,1.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.31999999999999995
cmip6_era5_data_daily_63,13.181018829345703,-16.244293212890625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.15181818181818182,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.16727272727272727,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.34,0.0,0.67,0.17,0.1990909090909091,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.0,0.2127272727272727,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.17,0.2581818181818182
cmip6_era5_data_daily_64,13.181018829345703,-16.57244873046875,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.1981818181818182,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.1981818181818182,0.0,0.17,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.21363636363636365,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.24454545454545454,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.28909090909090907
cmip6_era5_data_daily_65,13.462214469909668,-16.303741455078125,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2290909090909091,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.2290909090909091,0.0,0.34,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.25909090909090904,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.22818181818181815,0.0,0.5,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.2736363636363636
cmip6_era5_data_daily_66,13.11072063446045,-14.344268798828123,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.22727272727272727,0.0,0.34,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.21363636363636365,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.84,0.0,0.2581818181818182,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.0,0.24363636363636362,0.0,0.67,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.84,0.0,0.2736363636363636
cmip6_era5_data_daily_67,13.462214469909668,-14.492218017578123,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.17,0.2590909090909091,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.24363636363636362,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.17,0.2590909090909091,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.24363636363636365,0.17,1.0,0.67,0.0,0.0,0.0,0.17,0.67,0.0,0.67,0.17,0.31999999999999995
cmip6_era5_data_daily_68,13.181018829345703,-15.670013427734377,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.22727272727272727,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.19727272727272727,0.0,0.17,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2127272727272727,0.0,0.34,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.24363636363636365,0.0,0.67,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.2736363636363636
cmip6_era5_data_daily_69,13.251317977905272,-16.42333984375,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.21363636363636365,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.24454545454545454,0.0,0.34,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.2745454545454545,0.0,0.17,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.24363636363636362,0.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.30363636363636365
cmip6_era5_data_daily_7,13.673110961914062,-15.110076904296877,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.24454545454545454,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.25909090909090904,0.0,0.67,0.84,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.27454545454545454,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.2590909090909091,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.35090909090909084
