date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_days_above_threshold,is_humidity_days_above_threshold,is_wind_days_above_threshold,consecutive_dry_days,season_start_shift,season_length
2039-12-31 00:00:00+00:00,28.466914475483872,750.67530938,0.0,2842.8639347,2914.74077,3.192706842092442,156.76255229428136,3,0,1,0,8.0,6,144
2040-12-31 00:00:00+00:00,28.412755380860215,804.8685959100001,0.0,2950.2708808999996,2889.6450839999998,3.685568959875129,155.73927231303105,1,0,1,0,24.0,16,125
2041-12-31 00:00:00+00:00,28.604732936989244,874.417256409,0.0,2859.0869776,2913.2519825,4.500356105731996,172.81369333951224,4,0,1,0,25.0,9,138
2042-12-31 00:00:00+00:00,29.307388161290323,669.35097503,0.0,2925.2151191000003,3037.7338465000003,5.790411277983952,167.45582759140157,2,0,2,0,15.0,28,146
2043-12-31 00:00:00+00:00,28.754043501935485,580.39535043,0.0,2959.8879828999998,2944.515783,5.249455841700731,153.1149643808717,1,0,1,0,18.0,25,125
2044-12-31 00:00:00+00:00,29.0299704172043,637.669412798,0.0,3009.7649978,2974.8950875,6.262614198446177,171.79186617311473,2,0,1,0,36.0,22,124
2045-12-31 00:00:00+00:00,28.680614683655914,774.787486011,0.0,2919.5794084999998,2937.0269815,4.306196526085426,164.87822516892058,1,0,1,0,40.0,28,112
2046-12-31 00:00:00+00:00,29.274065626021503,724.4071071970001,0.0,2925.8468445999997,3028.38385,6.887349725598976,181.2815255943318,2,0,1,0,24.0,10,128
2047-12-31 00:00:00+00:00,28.535333777419357,1111.731743867,0.0,2855.9226896,2917.9907785,4.287816310997126,162.34292778737728,3,0,2,0,12.0,15,146
2048-12-31 00:00:00+00:00,28.8911962855914,509.599871606,0.0,2812.7747071000003,2965.545083,5.7504157448914235,180.99852748633393,0,0,1,0,13.0,6,142
2049-12-31 00:00:00+00:00,29.33447485311828,727.873603763,0.0,3015.0542064,3045.851962,5.771514120183302,170.03738943361014,2,0,2,0,25.0,15,137
2050-12-31 00:00:00+00:00,30.36138804365591,429.361340622,0.0,3077.7211226,3193.033827,5.9570805394430595,173.21346878467253,2,0,1,0,21.0,28,132
