date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_stress,is_humidity_above_threshold,is_wind_above_threshold,consecutive_dry_days,season_start_shift,season_length
2008-12-31 00:00:00+00:00,27.80055222580645,764.704694319,0.13974029000000018,2947.9800026,2804.436029,6.960950338330453,151.69758707160545,1,0,43,0,15.0,5,138
2009-12-31 00:00:00+00:00,28.102261704731184,771.66606133,0.1714202800000002,2892.2959981,2845.7150105,6.365502762993285,165.4665205469936,2,0,44,0,44.0,18,117
2010-12-31 00:00:00+00:00,28.5531107372043,632.90093301,0.16338987000000027,3006.0559365,2903.443955,6.294248231682313,162.11168332139528,2,0,30,0,27.0,5,123
2011-12-31 00:00:00+00:00,27.392465171397852,774.665408849,0.15306989000000024,2738.6850622,2749.622869,6.5047701250517855,143.76135752021784,0,0,57,0,27.0,0,143
2012-12-31 00:00:00+00:00,27.418896358494624,531.2154754420001,0.12606315000000015,2858.1846170999997,2727.4860485,4.689640077266505,141.4223041675183,0,0,34,0,11.0,0,137
2013-12-31 00:00:00+00:00,27.968584409247313,757.774411575,0.1579475500000002,2822.7717201,2826.3400155,6.531431589688047,144.52607742811557,1,0,41,0,28.0,11,134
2014-12-31 00:00:00+00:00,28.391831193763444,711.881364685,0.17602526000000027,2993.4337068,2871.3689485,8.55881129483663,178.21967012610511,1,0,34,0,21.0,7,121
2015-12-31 00:00:00+00:00,27.608970640215055,951.57822576,0.12476002000000014,2823.2261103,2783.9228795,5.122949343245826,164.27281955058473,3,0,46,0,17.0,0,139
2016-12-31 00:00:00+00:00,28.210648955913978,752.243121255,0.1615052100000002,2874.7000393,2854.036036,6.711665965579667,179.90525030412354,2,0,39,0,16.0,4,134
2017-12-31 00:00:00+00:00,27.895939273978495,632.395816676,0.09515283000000008,2857.7464022,2809.615003,6.544484924139591,157.96937571932804,0,0,40,0,17.0,0,134
2018-12-31 00:00:00+00:00,27.92998172408602,585.521389745,0.14456072000000023,2940.3700131,2825.5189524999996,4.9985428021217935,137.88686606636128,0,0,40,0,22.0,0,143
2019-12-31 00:00:00+00:00,28.425475929677418,575.447734659,0.1706865500000003,2935.1594575,2876.6978785,7.760151975594798,162.0418246595641,2,0,37,0,23.0,11,126
2020-12-31 00:00:00+00:00,27.82083184215054,717.3369224300001,0.07722438000000009,2914.0101839,2795.136028,4.306162553212917,145.2538252356294,1,0,33,0,22.0,0,134
2021-12-31 00:00:00+00:00,27.685745790322578,861.046078361,0.14276800000000017,2734.1829708,2782.8650159999997,7.296521790452279,173.3866040201482,5,0,47,0,29.0,0,128
2022-12-31 00:00:00+00:00,27.90143351548387,847.994225635,0.1770404600000003,2882.933665,2803.968953,6.291742811521658,173.12526890259036,1,0,42,0,45.0,14,126
2023-12-31 00:00:00+00:00,29.012164081505375,557.52853435,0.08615898000000013,3085.1609562,2965.697876,5.224132643760771,143.1038672923697,1,0,20,0,8.0,0,144
2024-12-31 00:00:00+00:00,28.37689628602151,640.888143115,0.1012035900000001,3020.6883945,2880.6610505,6.432665136094201,164.30173609686943,1,0,27,0,27.0,0,125
2025-12-31 00:00:00+00:00,28.37402526258065,512.916329948,0.14129707000000022,2916.8465471,2880.5400019999997,6.17954252764424,162.32763787877283,0,0,30,0,21.0,0,143
2026-12-31 00:00:00+00:00,27.595207571182794,794.112942211,0.1434748000000002,2718.8132892,2763.518954,4.091411031910602,147.48019550675136,1,0,41,0,17.0,2,136
2027-12-31 00:00:00+00:00,28.47305666064516,505.19458493400003,0.17806988000000024,2982.727514,2889.697893,6.328196627682011,159.2491192799617,1,0,30,0,31.0,11,119
2028-12-31 00:00:00+00:00,28.144197413978493,479.211095185,0.13414517000000012,2895.5647659,2846.4860315,4.669460810548884,158.36131367042944,0,0,28,0,31.0,0,120
2029-12-31 00:00:00+00:00,28.144638243440863,612.635018431,0.07175403000000022,2957.7860923999997,2849.790015,5.310884722090919,163.4107955112036,1,0,26,0,27.0,0,125
2030-12-31 00:00:00+00:00,27.793422466021504,941.9900193240001,0.09031078000000017,2728.7470825,2805.0189474999997,3.2087243866124617,144.32547358433416,2,0,51,1,29.0,0,146
2031-12-31 00:00:00+00:00,28.064282519569893,1142.8520094770001,0.1603022700000002,2697.4489491000004,2851.4978645,7.808926271789975,139.72913015045023,4,1,61,0,20.0,7,134
2032-12-31 00:00:00+00:00,28.523261923225807,890.1037553399999,0.11575669000000019,2981.3147537,2901.711048,6.938058403195561,182.9412720740239,2,0,28,0,30.0,0,119
